candidate_id,name,email,phone,submitted_at,salary_full_time,salary_part_time,has_salary_info,salary_ratio_pt_ft,available_full_time,available_part_time,availability_flexibility,both_available,total_experiences,unique_companies,has_big_tech,has_senior_role,has_lead_role,most_common_role_type,experience_diversity_score,company_prestige_score,avg_prestige_per_role,highest_education_level,total_degrees,has_cs_degree,has_top_school,has_high_gpa,total_skills,frontend_skills,backend_skills,mobile_skills,data_skills,cloud_skills,database_skills,devops_skills,language_skills,is_full_stack,high_demand_skills,skills_diversity_score,primary_skill_category,country,city,continent,timezone_group,is_major_tech_hub,experience_score,skills_score,education_score,market_value_score,completeness_score,detailed_experience_score,detailed_skills_score,detailed_education_score,detailed_skill_categories,detailed_is_full_stack,detailed_high_demand_count,detailed_has_tech_degree,detailed_top50_schools,detailed_top25_schools,overall_score,enhanced_overall_score,experience_level,enhanced_experience_level,original_skills,original_work_experiences,score_percentile,enhanced_score_percentile,salary_percentile,experience_percentile,value_tier,enhanced_value_tier,experience_tier,budget_category,value_for_money,enhanced_value_for_money
0,Clever Monkey,clever-monkey@example.com,5582981474204,2025-01-28 09:02:16.000000,117548,0,True,0.0,True,True,2,True,7,7,False,False,True,Engineering,1.0,11,1.5714285714285714,Bachelor's Degree,3,True,False,False,3,0,0,0,1,1,0,1,0,False,1,0.375,data,Maceió,Maceió,Other,Other,False,25,8,10,15,12,20,9.75,20,"['data', 'cloud', 'devops']",False,1.0,True,0.0,0.0,68.0,76.75,Senior,Junior,"Data Analysis, Docker, Microservices","StarLab Digital Ventures: Full Stack Developer; OrbitalLife: Project Manager; Carrot Hosting: Full Stack Developer; Bitbay Solutions: Full Stack Developer; Federal Institute of Science, Education & Technology - Alagoas: Project Manager; Usina Caeté: Scientist; Cyberia: System Administrator",51.28205128205128,60.46153846153847,71.8974358974359,93.53846153846153,Medium,Low,Senior,Premium,0.5784870861265186,0.6529247626501514
1,Noble Flamingo,noble-flamingo@example.com,12156688210,2025-01-26 07:40:39.000000,112253,0,True,0.0,True,True,2,True,8,8,False,True,True,Other,1.0,8,1.0,Juris Doctor (J.D),3,False,True,True,0,0,0,0,0,0,0,0,0,False,0,0.0,None,Philadelphia,Philadelphia,Other,Other,False,25,0,0,15,10,25,0.0,10,,,,False,2.0,1.0,48.333333333333336,60.0,Senior,Mid-Level,,Intellectual Asset Management Group: Managing Director; Raju LLP: Partner; Angeion Group: Legal Specialist; Unilog Corporation: Legal Specialist; Spruce Law: Legal Specialist; Newport IP: Legal Specialist; Knox Investment Group: Managing Director; Drinker Biddle & Reath: Attorney,9.948717948717949,26.923076923076923,65.84615384615384,88.2051282051282,Low,Low,Senior,Premium,0.43057498092107416,0.5345068728675403
2,Noble Antelope,noble-antelope@example.com,8801993762548,2025-01-28 07:29:47.000000,63556,0,True,0.0,True,True,2,True,4,4,False,False,False,Engineering,1.0,4,1.0,Bachelor's Degree,2,True,False,True,6,3,1,1,0,0,0,0,0,True,1,0.375,frontend,Bangladesh,Bangladesh,Asia,Asia,False,25,14,10,20,12,16,12.75,20,"['frontend', 'backend', 'mobile']",True,1.0,True,0.0,0.0,79.0,80.75,Senior,Junior,"Laravel, Next JS, React, React Native, Redux, Angular",Red.Digital: Software Engineer; Robi-HRIS SaaS Product: Software Engineer; Dotlines: Software Engineer; BJIT Group: Software Engineer,72.15384615384616,67.12820512820514,18.666666666666668,57.128205128205124,High,Medium,Mid,Standard,1.2429983007111838,1.2705330731952924
3,Unique Platypus,unique-platypus@example.com,55118120974,2025-01-28 23:29:29.000000,143487,0,True,0.0,True,True,2,True,3,3,False,False,True,Engineering,1.0,3,1.0,Bachelor's Degree,2,True,False,False,5,0,1,0,0,1,0,0,1,False,2,0.375,backend,Brazil,Brazil,South America,Americas,False,24,14,10,15,12,12,14.75,20,"['backend', 'cloud', 'languages']",False,2.0,True,0.0,0.0,73.0,73.75,Senior,Junior,"Amazon Web Services, Python, Flask, Agile, REST APIs",Autônomo: Backend Engineer; CI&T: Software Engineer; CIOESTE: Project Manager,61.38461538461538,53.333333333333336,99.07692307692308,40.35897435897436,High,Low,Mid,Executive,0.5087568908681623,0.5139838452263968
4,Clever Jellyfish,clever-jellyfish@example.com,54169018596,2025-01-29 03:45:30.000000,120152,0,True,0.0,True,True,2,True,4,4,False,False,True,Engineering,1.0,4,1.0,Bachelor's Degree,2,False,False,False,6,1,0,0,0,3,0,0,2,False,3,0.375,cloud,Argentina,Argentina,South America,Americas,False,25,18,10,20,12,16,18.75,15,"['frontend', 'cloud', 'languages']",False,3.0,False,0.0,0.0,83.0,81.75,Senior,Junior,"JavaScript, Arduino, Amazon Web Services, Azure, Java, Google Cloud Platform",Ituran de Argentina: Product Manager; Ministerio de Educación de la Ciudad: Tutor; ThernLoven: Software Developer; Coder Hause: Software Developer,78.46153846153847,68.56410256410257,73.94871794871794,57.128205128205124,High,Medium,Mid,Premium,0.690791663892403,0.6803881749783607
5,Joyful Yak,joyful-yak@example.com,5548991101850,2025-01-28 11:27:38.000000,123210,0,True,0.0,True,True,2,True,6,6,False,True,True,Engineering,1.0,6,1.0,Bachelor's Degree,1,True,False,False,5,0,0,0,0,1,2,1,2,False,2,0.5,database,Laguna,Laguna,Other,Other,False,25,14,10,15,12,25,16.0,20,"['database', 'cloud', 'devops', 'languages']",False,2.0,True,0.0,0.0,74.0,88.0,Senior,Mid-Level,"Redis, MongoDB, C#, Docker, Java",Farfetch: Engineering Manager; XpandIT: Lead Software Engineer; WSO2: Consultant; FIESC: Software Architect; SENAI/SC: Java Developer; Trier Sistemas: Java Developer,63.794871794871796,76.82051282051282,77.23076923076924,76.61538461538461,High,Medium,Senior,Premium,0.6006006006006006,0.7142277412547683
6,Intelligent,intelligent-xenops@example.com,573014908679,2025-01-26 11:37:41.000000,74610,0,True,0.0,True,True,2,True,0,0,False,False,False,None,0.0,0,0.0,Master's Degree,3,False,False,False,0,0,0,0,0,0,0,0,0,False,0,0.0,None,Manizales,Manizales,Other,Other,False,0,0,15,20,8,0,0.0,20,,,,False,0.0,0.0,41.666666666666664,48.0,Entry-Level,Entry-Level,,,6.256410256410256,8.76923076923077,29.53846153846154,2.5128205128205128,Low,Low,Entry,Standard,0.5584595451905464,0.6433453960595095
7,Hilarious Narwhal,hilarious-narwhal@example.com,447776689124,2025-01-28 00:45:00.000000,45939,0,True,0.0,True,True,2,True,1,1,False,False,False,Engineering,1.0,1,1.0,Master's Degree,2,True,False,True,3,0,0,0,1,0,0,0,1,False,2,0.25,data,UK,UK,Other,Other,False,8,10,15,20,12,4,11.5,25,"['data', 'languages']",False,2.0,True,0.0,0.0,63.0,72.5,Junior,Entry-Level,"Excel, Machine Learning, Python",Unschool: Software Developer Intern,38.35897435897436,51.43589743589744,0.8205128205128205,8.76923076923077,Medium,Low,Junior,Budget,1.3713837915496636,1.5781797601166765
8,Enthusiastic Tiger,enthusiastic-tiger@example.com,58214140963859,2025-01-26 16:47:36.000000,100445,0,True,0.0,True,True,2,True,8,8,False,False,False,Other,1.0,8,1.0,Bachelor's Degree,2,True,False,False,1,0,0,0,0,0,0,0,0,False,0,0.0,None,Maracay,Maracay,Other,Other,False,25,2,10,15,12,20,1.0,20,[],False,0.0,True,0.0,0.0,62.0,68.0,Senior,Junior,Investing,Tunabear: Financial Analyst; Freelance: IT Support Specialist; Net A Porter: Customer Support; Placetorent: Marketing Specialist; Outsource.Sa: IT Support Specialist; Riviera Electronic: Customer Support; Diocesis of Ciudad Guayana: IT Support Specialist; Caroni Bank: Systems Engineer,34.0,42.205128205128204,52.717948717948715,88.2051282051282,Medium,Low,Senior,Premium,0.6172532231569516,0.6769874060431083
9,Brave Tiger,brave-tiger@example.com,8801687874697,2025-01-26 17:29:23.000000,68973,0,True,0.0,True,True,2,True,3,3,False,False,False,Engineering,1.0,3,1.0,Associate's Degree,2,False,False,False,8,3,2,0,0,0,1,0,1,True,3,0.5,frontend,Bangladesh,Bangladesh,Asia,Asia,False,24,22,5,20,12,12,22.0,10,"['frontend', 'backend', 'database', 'languages']",True,3.0,False,0.0,0.0,81.0,76.0,Senior,Junior,"Redux, MongoDB, React, Express, TailwindCSS, Next JS, Node JS, TypeScript",Repliq Limited: Frontend Engineer; DS Legends Pte. Ltd.: Full Stack Developer; Digital Planet London: Web Developer,74.76923076923076,59.23076923076923,23.589743589743588,40.35897435897436,High,Low,Mid,Standard,1.1743725805750076,1.101880445971612
10,Noble,noble-iguana@example.com,18763468685,2025-01-27 08:43:09.000000,105801,0,True,0.0,True,True,2,True,2,2,False,False,False,Analytics,1.0,2,1.0,Master's Degree,3,False,False,True,0,0,0,0,0,0,0,0,0,False,0,0.0,None,Kingston,Kingston,Other,Other,False,16,0,15,15,10,8,0.0,20,,,,False,0.0,0.0,54.333333333333336,53.0,Mid-Level,Entry-Level,,JN Bank: Financial Analyst; Bank of Jamaica: Financial Analyst,18.974358974358974,14.871794871794872,58.666666666666664,21.897435897435898,Medium,Low,Junior,Premium,0.513542720138121,0.5009404447973081
11,Clever Raccoon,clever-raccoon@example.com,34692467888,2025-01-27 15:52:48.000000,126180,0,True,0.0,True,True,2,True,4,4,False,False,False,Engineering,1.0,4,1.0,Master's Degree,2,False,False,True,9,3,0,0,0,1,0,0,3,False,5,0.375,frontend,Spain,Spain,Europe,Europe,False,25,28,15,15,12,16,27.75,20,"['frontend', 'cloud', 'languages']",False,5.0,False,0.0,0.0,93.0,90.75,Senior,Junior,"Amazon Web Services, Java, Photoshop, Illustrator, JavaScript, React, TypeScript, UI/UX Design, REST APIs",Safeguard Global: Full Stack Developer; Solera: Frontend Engineer; everis: Frontend Engineer; Quintas Energy: UX/UI Designer,92.66666666666666,79.84615384615384,81.33333333333333,57.128205128205124,Excellent,Medium,Mid,Premium,0.7370423204945316,0.719210651450309
12,Brave Kangaroo,brave-kangaroo@example.com,91,2025-01-28 12:08:11.000000,53547,0,True,0.0,True,True,2,True,6,6,False,True,False,Engineering,1.0,6,1.0,Bachelor's Degree,1,True,False,True,4,2,1,0,0,0,0,0,0,True,0,0.25,frontend,Hydrabad,Hydrabad,Other,Other,False,25,8,10,20,12,25,6.5,20,"['frontend', 'backend']",True,0.0,True,0.0,0.0,73.0,83.5,Senior,Mid-Level,"WebSockets, Angular, Next JS, Express",Spaarks: Web Developer; Livestorm: Mobile App Developer; Lamento: Co-Founder; Filmingo: Co-Founder; 2050 Technologies: Web Developer; The Boss Gym: Web Developer,61.38461538461538,71.43589743589743,8.923076923076923,76.61538461538461,High,Medium,Senior,Budget,1.3632883261433881,1.5593777429174371
13,Optimistic Iguana,optimistic-iguana@example.com,5541999368328,2025-01-26 10:05:57.000000,104750,0,True,0.0,True,True,2,True,4,4,False,False,False,Engineering,1.0,4,1.0,Bachelor's Degree,2,True,False,False,3,1,0,1,0,0,0,0,1,False,2,0.375,frontend,Brazil,Brazil,South America,Americas,False,25,10,10,20,12,16,12.75,20,"['frontend', 'mobile', 'languages']",False,2.0,True,0.0,0.0,75.0,80.75,Senior,Junior,"Python, React, React Native",The Coffee: React Developer; Rentcars.com: Full Stack Developer; Gebit - Software and Application Development: Full Stack Developer; Universidade Tecnológica Federal do Paraná: Software Developer Intern,65.6923076923077,67.12820512820514,57.64102564102564,57.128205128205124,High,Medium,Mid,Premium,0.7159904534606205,0.7708830548926014
